"","weight","Time","Chick","Diet"
"1",199,20,"1","1"
"2",205,21,"1","1"
"3",40,0,"2","1"
"4",49,2,"2","1"
"5",58,4,"2","1"
"6",72,6,"2","1"
"7",84,8,"2","1"
"8",103,10,"2","1"
"9",122,12,"2","1"
"10",138,14,"2","1"
"11",162,16,"2","1"
"12",187,18,"2","1"
"13",209,20,"2","1"
"14",215,21,"2","1"
"15",43,0,"3","1"
"16",39,2,"3","1"
"17",55,4,"3","1"
"18",67,6,"3","1"
"19",84,8,"3","1"
"20",99,10,"3","1"
"21",115,12,"3","1"
"22",138,14,"3","1"
"23",163,16,"3","1"
"24",187,18,"3","1"
"25",198,20,"3","1"
"26",202,21,"3","1"
"27",42,0,"4","1"
"28",49,2,"4","1"
"29",56,4,"4","1"
"30",67,6,"4","1"
"31",74,8,"4","1"
"32",87,10,"4","1"
"33",102,12,"4","1"
"34",108,14,"4","1"
"35",136,16,"4","1"
"36",154,18,"4","1"
"37",160,20,"4","1"
"38",157,21,"4","1"
"39",41,0,"5","1"
"40",42,2,"5","1"
"41",48,4,"5","1"
"42",60,6,"5","1"
"43",79,8,"5","1"
"44",106,10,"5","1"
"45",141,12,"5","1"
"46",164,14,"5","1"
"47",197,16,"5","1"
"48",199,18,"5","1"
"49",220,20,"5","1"
"50",223,21,"5","1"
"51",41,0,"6","1"
"52",49,2,"6","1"
"53",59,4,"6","1"
"54",74,6,"6","1"
"55",97,8,"6","1"
"56",124,10,"6","1"
"57",141,12,"6","1"
"58",148,14,"6","1"
"59",155,16,"6","1"
"60",160,18,"6","1"
"61",160,20,"6","1"
"62",157,21,"6","1"
"63",41,0,"7","1"
"64",49,2,"7","1"
"65",57,4,"7","1"
"66",71,6,"7","1"
"67",89,8,"7","1"
"68",112,10,"7","1"
"69",146,12,"7","1"
"70",174,14,"7","1"
"71",218,16,"7","1"
"72",250,18,"7","1"
"73",288,20,"7","1"
"74",42,0,"8","1"
"75",50,2,"8","1"
"76",61,4,"8","1"
"77",71,6,"8","1"
"78",84,8,"8","1"
"79",93,10,"8","1"
"80",110,12,"8","1"
"81",116,14,"8","1"
"82",126,16,"8","1"
"83",134,18,"8","1"
"84",125,20,"8","1"
"85",42,0,"9","1"
"86",51,2,"9","1"
"87",59,4,"9","1"
"88",68,6,"9","1"
"89",85,8,"9","1"
"90",96,10,"9","1"
"91",90,12,"9","1"
"92",92,14,"9","1"
"93",93,16,"9","1"
"94",100,18,"9","1"
"95",100,20,"9","1"
"96",98,21,"9","1"
"97",41,0,"10","1"
"98",44,2,"10","1"
"99",52,4,"10","1"
"100",63,6,"10","1"
"101",74,8,"10","1"
"102",81,10,"10","1"
"103",89,12,"10","1"
"104",96,14,"10","1"
"105",101,16,"10","1"
"106",112,18,"10","1"
"107",120,20,"10","1"
"108",124,21,"10","1"
"109",43,0,"11","1"
"110",51,2,"11","1"
"111",63,4,"11","1"
"112",84,6,"11","1"
"113",112,8,"11","1"
"114",139,10,"11","1"
"115",168,12,"11","1"
"116",177,14,"11","1"
"117",182,16,"11","1"
"118",184,18,"11","1"
"119",181,20,"11","1"
"120",175,21,"11","1"
"121",41,0,"12","1"
"122",49,2,"12","1"
"123",56,4,"12","1"
"124",62,6,"12","1"
"125",72,8,"12","1"
"126",88,10,"12","1"
"127",119,12,"12","1"
"128",135,14,"12","1"
"129",162,16,"12","1"
"130",185,18,"12","1"
"131",195,20,"12","1"
"132",205,21,"12","1"
"133",41,0,"13","1"
"134",48,2,"13","1"
"135",53,4,"13","1"
"136",60,6,"13","1"
"137",65,8,"13","1"
"138",67,10,"13","1"
"139",71,12,"13","1"
"140",70,14,"13","1"
"141",71,16,"13","1"
"142",81,18,"13","1"
"143",91,20,"13","1"
"144",96,21,"13","1"
"145",41,0,"14","1"
"146",49,2,"14","1"
"147",62,4,"14","1"
"148",79,6,"14","1"
"149",101,8,"14","1"
"150",128,10,"14","1"
"151",164,12,"14","1"
"152",192,14,"14","1"
"153",227,16,"14","1"
"154",248,18,"14","1"
"155",259,20,"14","1"
"156",266,21,"14","1"
"157",41,0,"15","1"
"158",49,2,"15","1"
"159",56,4,"15","1"
"160",64,6,"15","1"
"161",68,8,"15","1"
"162",68,10,"15","1"
"163",67,12,"15","1"
"164",68,14,"15","1"
"165",41,0,"16","1"
"166",45,2,"16","1"
"167",49,4,"16","1"
"168",51,6,"16","1"
"169",57,8,"16","1"
"170",51,10,"16","1"
"171",54,12,"16","1"
"172",42,0,"17","1"
"173",51,2,"17","1"
"174",61,4,"17","1"
"175",72,6,"17","1"
"176",83,8,"17","1"
"177",89,10,"17","1"
"178",98,12,"17","1"
"179",103,14,"17","1"
"180",113,16,"17","1"
"181",123,18,"17","1"
"182",133,20,"17","1"
"183",142,21,"17","1"
"184",39,0,"18","1"
"185",35,2,"18","1"
"186",43,0,"19","1"
"187",48,2,"19","1"
"188",55,4,"19","1"
"189",62,6,"19","1"
"190",65,8,"19","1"
"191",71,10,"19","1"
"192",82,12,"19","1"
"193",88,14,"19","1"
"194",106,16,"19","1"
"195",120,18,"19","1"
"196",144,20,"19","1"
"197",157,21,"19","1"
"198",41,0,"20","1"
"199",47,2,"20","1"
"200",54,4,"20","1"
"201",58,6,"20","1"
"202",65,8,"20","1"
"203",73,10,"20","1"
"204",77,12,"20","1"
"205",89,14,"20","1"
"206",98,16,"20","1"
"207",107,18,"20","1"
"208",115,20,"20","1"
"209",117,21,"20","1"
"210",40,0,"21","2"
"211",50,2,"21","2"
"212",62,4,"21","2"
"213",86,6,"21","2"
"214",125,8,"21","2"
"215",163,10,"21","2"
"216",217,12,"21","2"
"217",240,14,"21","2"
"218",275,16,"21","2"
"219",41,0,"22","2"
"220",55,2,"22","2"
"221",64,4,"22","2"
"222",77,6,"22","2"
"223",90,8,"22","2"
"224",95,10,"22","2"
"225",108,12,"22","2"
"226",111,14,"22","2"
"227",131,16,"22","2"
"228",148,18,"22","2"
"229",164,20,"22","2"
"230",167,21,"22","2"
"231",43,0,"23","2"
"232",52,2,"23","2"
"233",61,4,"23","2"
"234",73,6,"23","2"
"235",90,8,"23","2"
"236",103,10,"23","2"
"237",127,12,"23","2"
"238",135,14,"23","2"
"239",145,16,"23","2"
"240",163,18,"23","2"
"241",170,20,"23","2"
"242",175,21,"23","2"
"243",42,0,"24","2"
"244",52,2,"24","2"
"245",58,4,"24","2"
"246",74,6,"24","2"
"247",66,8,"24","2"
"248",68,10,"24","2"
"249",70,12,"24","2"
"250",71,14,"24","2"
"251",72,16,"24","2"
"252",72,18,"24","2"
"253",76,20,"24","2"
"254",74,21,"24","2"
"255",40,0,"25","2"
"256",49,2,"25","2"
"257",62,4,"25","2"
"258",78,6,"25","2"
"259",102,8,"25","2"
"260",124,10,"25","2"
"261",146,12,"25","2"
"262",164,14,"25","2"
"263",197,16,"25","2"
"264",231,18,"25","2"
"265",259,20,"25","2"
"266",265,21,"25","2"
"267",42,0,"26","2"
"268",48,2,"26","2"
"269",57,4,"26","2"
"270",74,6,"26","2"
"271",93,8,"26","2"
"272",114,10,"26","2"
"273",136,12,"26","2"
"274",147,14,"26","2"
"275",169,16,"26","2"
"276",205,18,"26","2"
"277",236,20,"26","2"
"278",251,21,"26","2"
"279",39,0,"27","2"
"280",46,2,"27","2"
"281",58,4,"27","2"
"282",73,6,"27","2"
"283",87,8,"27","2"
"284",100,10,"27","2"
"285",115,12,"27","2"
"286",123,14,"27","2"
"287",144,16,"27","2"
"288",163,18,"27","2"
"289",185,20,"27","2"
"290",192,21,"27","2"
"291",39,0,"28","2"
"292",46,2,"28","2"
"293",58,4,"28","2"
"294",73,6,"28","2"
"295",92,8,"28","2"
"296",114,10,"28","2"
"297",145,12,"28","2"
"298",156,14,"28","2"
"299",184,16,"28","2"
"300",207,18,"28","2"
"301",212,20,"28","2"
"302",233,21,"28","2"
"303",39,0,"29","2"
"304",48,2,"29","2"
"305",59,4,"29","2"
"306",74,6,"29","2"
"307",87,8,"29","2"
"308",106,10,"29","2"
"309",134,12,"29","2"
"310",150,14,"29","2"
"311",187,16,"29","2"
"312",230,18,"29","2"
"313",279,20,"29","2"
"314",42,0,"30","2"
"315",48,2,"30","2"
"316",59,4,"30","2"
"317",72,6,"30","2"
"318",85,8,"30","2"
"319",98,10,"30","2"
"320",115,12,"30","2"
"321",122,14,"30","2"
"322",143,16,"30","2"
"323",151,18,"30","2"
"324",157,20,"30","2"
"325",150,21,"30","2"
"326",42,0,"31","3"
"327",53,2,"31","3"
"328",62,4,"31","3"
"329",73,6,"31","3"
"330",85,8,"31","3"
"331",102,10,"31","3"
"332",123,12,"31","3"
"333",138,14,"31","3"
"334",170,16,"31","3"
"335",204,18,"31","3"
"336",235,20,"31","3"
"337",256,21,"31","3"
"338",41,0,"32","3"
"339",49,2,"32","3"
"340",65,4,"32","3"
"341",82,6,"32","3"
"342",107,8,"32","3"
"343",129,10,"32","3"
"344",159,12,"32","3"
"345",179,14,"32","3"
"346",221,16,"32","3"
"347",263,18,"32","3"
"348",291,20,"32","3"
"349",39,0,"33","3"
"350",50,2,"33","3"
"351",63,4,"33","3"
"352",77,6,"33","3"
"353",96,8,"33","3"
"354",111,10,"33","3"
"355",137,12,"33","3"
"356",144,14,"33","3"
"357",151,16,"33","3"
"358",146,18,"33","3"
"359",156,20,"33","3"
"360",147,21,"33","3"
"361",41,0,"34","3"
"362",49,2,"34","3"
"363",63,4,"34","3"
"364",85,6,"34","3"
"365",107,8,"34","3"
"366",134,10,"34","3"
"367",164,12,"34","3"
"368",186,14,"34","3"
"369",235,16,"34","3"
"370",294,18,"34","3"
"371",41,0,"35","3"
"372",53,2,"35","3"
"373",64,4,"35","3"
"374",87,6,"35","3"
"375",123,8,"35","3"
"376",158,10,"35","3"
"377",201,12,"35","3"
"378",238,14,"35","3"
"379",287,16,"35","3"
"380",39,0,"36","3"
"381",48,2,"36","3"
"382",61,4,"36","3"
"383",76,6,"36","3"
"384",98,8,"36","3"
"385",116,10,"36","3"
"386",145,12,"36","3"
"387",166,14,"36","3"
"388",198,16,"36","3"
"389",227,18,"36","3"
"390",225,20,"36","3"
"391",220,21,"36","3"
"392",41,0,"37","3"
"393",48,2,"37","3"
"394",56,4,"37","3"
"395",68,6,"37","3"
"396",80,8,"37","3"
"397",83,10,"37","3"
"398",103,12,"37","3"
"399",112,14,"37","3"
"400",135,16,"37","3"
"401",157,18,"37","3"
"402",169,20,"37","3"
"403",178,21,"37","3"
"404",41,0,"38","3"
"405",49,2,"38","3"
"406",61,4,"38","3"
"407",74,6,"38","3"
"408",98,8,"38","3"
"409",109,10,"38","3"
"410",128,12,"38","3"
"411",154,14,"38","3"
"412",192,16,"38","3"
"413",232,18,"38","3"
"414",280,20,"38","3"
"415",290,21,"38","3"
"416",42,0,"39","3"
"417",50,2,"39","3"
"418",61,4,"39","3"
"419",78,6,"39","3"
"420",89,8,"39","3"
"421",109,10,"39","3"
"422",130,12,"39","3"
"423",146,14,"39","3"
"424",170,16,"39","3"
"425",214,18,"39","3"
"426",250,20,"39","3"
"427",272,21,"39","3"
"428",41,0,"40","3"
"429",55,2,"40","3"
"430",66,4,"40","3"
"431",79,6,"40","3"
"432",101,8,"40","3"
"433",120,10,"40","3"
"434",154,12,"40","3"
"435",182,14,"40","3"
"436",215,16,"40","3"
"437",262,18,"40","3"
"438",295,20,"40","3"
"439",42,0,"41","4"
"440",51,2,"41","4"
"441",66,4,"41","4"
"442",85,6,"41","4"
"443",103,8,"41","4"
"444",124,10,"41","4"
"445",155,12,"41","4"
"446",153,14,"41","4"
"447",175,16,"41","4"
"448",184,18,"41","4"
"449",199,20,"41","4"
"450",204,21,"41","4"
"451",42,0,"42","4"
"452",49,2,"42","4"
"453",63,4,"42","4"
"454",84,6,"42","4"
"455",103,8,"42","4"
"456",126,10,"42","4"
"457",160,12,"42","4"
"458",174,14,"42","4"
"459",204,16,"42","4"
"460",234,18,"42","4"
"461",269,20,"42","4"
"462",281,21,"42","4"
"463",42,0,"43","4"
"464",55,2,"43","4"
"465",69,4,"43","4"
"466",96,6,"43","4"
"467",131,8,"43","4"
"468",157,10,"43","4"
"469",184,12,"43","4"
"470",188,14,"43","4"
"471",197,16,"43","4"
"472",198,18,"43","4"
"473",199,20,"43","4"
"474",200,21,"43","4"
"475",42,0,"44","4"
"476",51,2,"44","4"
"477",65,4,"44","4"
"478",86,6,"44","4"
"479",103,8,"44","4"
"480",118,10,"44","4"
"481",127,12,"44","4"
"482",138,14,"44","4"
"483",145,16,"44","4"
"484",146,18,"44","4"
"485",41,0,"45","4"
"486",50,2,"45","4"
"487",61,4,"45","4"
"488",78,6,"45","4"
"489",98,8,"45","4"
"490",117,10,"45","4"
"491",135,12,"45","4"
"492",141,14,"45","4"
"493",147,16,"45","4"
"494",174,18,"45","4"
"495",197,20,"45","4"
"496",196,21,"45","4"
"497",40,0,"46","4"
"498",52,2,"46","4"
"499",62,4,"46","4"
"500",82,6,"46","4"
"501",101,8,"46","4"
"502",120,10,"46","4"
"503",144,12,"46","4"
"504",156,14,"46","4"
"505",173,16,"46","4"
"506",210,18,"46","4"
"507",231,20,"46","4"
"508",238,21,"46","4"
"509",41,0,"47","4"
"510",53,2,"47","4"
"511",66,4,"47","4"
"512",79,6,"47","4"
"513",100,8,"47","4"
"514",123,10,"47","4"
"515",148,12,"47","4"
"516",157,14,"47","4"
"517",168,16,"47","4"
"518",185,18,"47","4"
"519",210,20,"47","4"
"520",205,21,"47","4"
"521",39,0,"48","4"
"522",50,2,"48","4"
"523",62,4,"48","4"
"524",80,6,"48","4"
"525",104,8,"48","4"
"526",125,10,"48","4"
"527",154,12,"48","4"
"528",170,14,"48","4"
"529",222,16,"48","4"
"530",261,18,"48","4"
"531",40,0,"49","4"
"532",53,2,"49","4"
"533",64,4,"49","4"
"534",85,6,"49","4"
"535",108,8,"49","4"
"536",128,10,"49","4"
"537",152,12,"49","4"
"538",166,14,"49","4"
"539",184,16,"49","4"
"540",203,18,"49","4"
"541",233,20,"49","4"
"542",237,21,"49","4"
"543",41,0,"50","4"
"544",54,2,"50","4"
"545",67,4,"50","4"
"546",84,6,"50","4"
"547",105,8,"50","4"
"548",122,10,"50","4"
"549",155,12,"50","4"
"550",175,14,"50","4"
"551",205,16,"50","4"
"552",234,18,"50","4"
"553",264,20,"50","4"
"554",264,21,"50","4"
